long,lat,nombre,direccion,piso_dpto,telefono,dia_hora_atencion,direccion_normalizada,barrio,comuna,codigo_postal,codigo_postal_argentino,localidad
-58.47803578963355,-34.591132775384715,AGRONOMIA,AVENIDA DE LOS CONSTITUYENTES 3110,,4521-1986,LUN A VIE DE 08:00 A 15:00 HS,DE LOS CONSTITUYENTES AV. 3110,AGRONOMIA,COMUNA 15,1427.0,C1427BLP,CABA
-58.51248223325111,-34.579053697789284,ALBARELLOS,AVENIDA ALBARELLOS 3153,,4571-6836,LUN A VIE DE 08:00 A 15:00 HS,ALBARELLOS AV. 3153,VILLA PUEYRREDON,COMUNA 12,1419.0,C1419FSI,CABA
-58.43250250118925,-34.6086573881956,ANDRES FERREYRA,AVENIDA DIAZ VELEZ 4633,,4958-6356,LUN A VIE DE 08:30 A 15:30 HS,DIAZ VELEZ AV. 4633,CABALLITO,COMUNA 06,1405.0,C1405DCB,CABA
-58.45415004988354,-34.60286551341535,BAM-BAM,VENTURA ALEGRE 799,,4623-0671,"LUN A VIE DE 08:00 A 15:00 HS. SAB, DOM Y FERIADOS DE 08:00 A 20:00 HS",,,,1416.0,C1416CVE,Ituzaingó
-58.473531419602615,-34.66654060895771,BARRIO COPELLO,AVENIDA DELLEPIANE 4900 (NORTE),,4602-4740,LUN A VIE DE 08:30 A 15:30 HS,"DELLEPIANE, LUIS, TTE. GRAL. 4900",VILLA LUGANO,COMUNA 08,,,CABA
-58.44489630943202,-34.63310275578877,CHACABUCO,AVENIDA EVA PERON 1502,,4921-0719,LUN A VIE DE 09:00 A 15:00 HS,"PERON, EVA AV. 1502",PARQUE CHACABUCO,COMUNA 07,1406.0,C1406HMQ,CABA
-58.38370693339062,-34.63335306169521,CRECIENDO,AVENIDA ALMANCIO ALCORTA 1402,,4304-9175,LUN A VIE DE 08:45 A 16:45 HS,"ALCORTA, AMANCIO AV. 1402",BARRACAS,COMUNA 04,1283.0,C1283AAN,CABA
-58.37927741388898,-34.60015007296135,DIENTITOS DE LECHE,VIAMONTE 872,PISO 3,4323-8761,LUN A VIE DE 08:45 A 16:45 HS,VIAMONTE 872,SAN NICOLAS,COMUNA 01,1053.0,C1053ABR,CABA
-58.40475894547963,-34.65490807071229,ESPORA,OSCAR BONAVENA Y SANTO DOMINGO,,4911-8906,LUN A VIE DE 08:30 A 15:30 HS,"BONAVENA, OSCAR NATALIO Y SANTO DOMINGO",NUEVA POMPEYA,COMUNA 04,,,CABA
-58.38849518794306,-34.62412084210056,FANTASSIA Y GARABATOS,VIRREY CEVALLOS 1333,,4300-9607,LUN A VIE DE 08:00 A 16:00 HS,"CEVALLOS, VIRREY 1333",CONSTITUCION,COMUNA 01,1135.0,C1135AAC,CABA
-58.378214683245155,-34.636176058860585,HERRERA,HERRERA 566,,4307-3070,LUN A VIE DE 08:00 A 15:30 HS,HERRERA 566,BARRACAS,COMUNA 04,1295.0,C1295ABJ,CABA
-58.47588875807253,-34.597121314340825,MI MUNDO FELIZ,AVENIDA WARNES 2630,,4523-8770,LUN A VIE DE 08:00 A 15:00 HS,WARNES AV. 2630,PATERNAL,COMUNA 15,1427.0,C1427DPS,CABA
-58.41161050562268,-34.639055961936876,PATRICIOS,AVENIDA ALMAFUERTE 66,,4911-7526,LUN A VIE DE 08:00 A 15:00 HS,ALMAFUERTE AV. 66,PARQUE PATRICIOS,COMUNA 04,1437.0,C1437JLN,CABA
-58.49265909917806,-34.67764626420168,PIEDRABUENA,CRISOSTOMO ALVARAZ 6750,,4602-7111,LUN A VIE DE 08:00 A 15:00 HS,"ALVAREZ, CRISOSTOMO 6750",VILLA LUGANO,COMUNA 08,1439.0,C1439AYB,CABA
-58.42776305851264,-34.60801203254947,PRINGLES,PRINGLES 344,,4982-2296,LUN A VIE DE 08:00 A 15:00 HS,PRINGLES 344,ALMAGRO,COMUNA 05,1183.0,C1183AEF,CABA
-58.36055591345499,-34.63896784258825,QUINQUELA MARTIN,AVENIDA DON PEDRO DE MENDOZA 1801,,4301-5676,LUN A VIE DE 08:00 A 15:00 HS,DON PEDRO DE MENDOZA AV. 1801,BOCA,COMUNA 04,1169.0,C1169AAC,CABA
-58.45859821275071,-34.67316251411827,RAYITO DE SOL,AVENIDA ESCALADA 4501,,4605-7966,LUN A VIE DE 08:00 A 15:00 HS.,ESCALADA AV. 4501,Villa Soldati,Comuna 8,1439.0,C1439FIP,CABA
-58.4777124439369,-34.54944501734207,SAAVEDRA,PINTO 3910,,4543-6049,LUN A VIE DE 08:00 A 15:00 HS,PINTO 3910,SAAVEDRA,COMUNA 12,1429.0,C1429APP,CABA
-58.506882383813846,-34.6325112552105,TUTZO DE BONIFACIO,VICTOR HUGO 682,,4568-3354,LUN A VIE DE 08:00 A 15:00 HS,"HUGO, VICTOR 682",VILLA LURO,COMUNA 10,1407.0,C1407BWL,CABA
-58.456215032043744,-34.580251247681424,VERA PEÑALOZA,GIRIBONE 976,,4551-3315,LUN A VIE DE 08:30 A 15:30 HS,GIRIBONE 976,CHACARITA,COMUNA 15,1427.0,C1427CAJ,CABA
