barrio,count,mean,count 10th percentile,count 90th percentile,min,max,std
0,11671,2474.7644332105338,398.0,1305.0,51.09,94000.0,3301.069615875156
1,4427,2561.5386921165564,240.0,744.0,33.18,40000.0,3225.3756822114938
2,1607,2068.328680771623,68.0,222.0,116.66,26280.36,2650.8700908960236
3,365,1602.8975342465762,30.0,34.0,272.87,12100.0,2077.486875941395
4,2764,2188.151020260493,434.0,214.0,76.48,80000.0,4647.870153784884
5,390,1888.9544871794858,94.0,27.0,39.81,60000.0,4868.777745140133
6,2386,2132.108139145014,131.0,190.0,153.62,36000.0,2990.071422582755
7,215,930.6054883720929,29.0,1.0,258.99,5608.36,783.4985295476832
8,597,990.5339698492459,159.0,9.0,198.48,16690.64,1193.01771517384
9,233,821.6178540772529,57.0,7.0,66.36,8057.55,1077.9470358076885
10,172,741.9080232558139,79.0,2.0,122.37,14388.48,1582.4097075158866
11,1614,2187.1264931846367,254.0,106.0,62.3,92000.0,6442.43336137
12,1431,1398.066715583506,252.0,56.0,50.27,55000.0,3722.3554681710793
14,1159,1798.829145815362,149.0,79.0,135.12,70000.0,5688.437439938783
15,466,884.6783476394847,22.0,1.0,231.64,17500.0,1001.3607559795687
16,227,605.0181057268726,61.0,1.0,127.47,7000.0,622.3942884648382
17,312,1954.3494871794865,88.0,26.0,136.1,30000.0,5127.746500215949
18,591,1019.6272419627761,214.0,13.0,134.6,11000.0,1656.9263359485872
19,1083,1319.7270914127448,299.0,45.0,112.16,81900.0,4353.720257883852
20,74,2307.569054054054,26.0,4.0,101.98,24000.0,5336.414024393947
21,499,1073.2076152304612,140.0,9.0,84.13,16246.01,1701.932346033893
22,230,1213.4314782608694,75.0,5.0,168.25,16826.22,2388.638013319627
23,600,819.5751333333328,125.0,9.0,61.13,7827.99,930.6357947197557
24,515,2279.9800000000027,107.0,58.0,168.25,35000.0,4076.9834550892165
25,93,750.3887096774191,28.0,4.0,112.17,5000.0,979.681754066335
26,706,1749.5340509915034,45.0,71.0,215.32,21725.23,2801.2308359274257
27,162,1491.0884567901226,19.0,11.0,244.45,8703.22,2022.9252222795753
28,725,1696.5688689655192,38.0,60.0,120.02,18897.04,2182.162399751524
29,458,1905.597554585152,111.0,6.0,132.57,90000.0,10175.101658434514
30,387,954.6267958656325,193.0,19.0,76.48,11338.22,1897.2988827755678
31,235,578.6123829787236,76.0,0.0,216.79,4028.77,435.5323559122031
32,581,2202.6428399311526,60.0,59.0,216.77,15911.28,3078.4644708206724
33,291,1256.7037800687283,95.0,17.0,134.71,28000.0,2184.5016427371997
34,109,415.4566972477062,49.0,0.0,159.7,1124.37,166.42649385136215
35,4303,2898.7150917964145,345.0,587.0,84.12,45000.0,4298.077073147552
36,1478,2005.5484844384248,206.0,164.0,109.59,56000.0,3199.5941373230885
37,11,1065.5863636363638,0.0,0.0,419.64,1581.27,592.8563496205928
38,435,1955.671816091953,84.0,26.0,112.82,36000.0,4649.653116798311
39,273,1335.751025641024,54.0,9.0,218.72,14361.53,2340.4041071912707
40,336,2405.706577380954,46.0,32.0,111.0,20000.0,3346.3114506804527
41,1039,1626.627228103945,38.0,57.0,72.37,31000.0,2247.1326556643676
42,189,952.5016931216936,24.0,1.0,50.94,11000.0,1132.2296741124278
43,4549,3765.7218399648277,766.0,739.0,70.59,100000.0,9483.410774452426
44,6822,2057.0702374670254,391.0,595.0,93.56,45000.0,3110.5138668729714
45,82,972.8278048780485,24.0,0.0,254.95,3023.52,794.739459838727
46,152,2924.5780263157903,48.0,22.0,140.2,20000.0,5202.082399052947
47,146,974.269726027397,18.0,7.0,73.72,5226.53,1111.1480401352806
48,5313,3380.3145285149744,19.0,995.0,101.0,29900.0,2327.570554766564
