,Commune,Neighborhood,count
0,1,BALVANERA,1
1,1,BARRACAS,1
2,1,BOCA,1
3,1,CONSTITUCION,333
4,1,MONTSERRAT,247
5,1,PUERTO MADERO,15
6,1,RETIRO,21
7,1,SAN NICOLAS,205
8,1,SAN TELMO,119
9,2,PALERMO,2
10,2,RECOLETA,175
11,3,ALMAGRO,1
12,3,BALVANERA,677
13,3,SAN CRISTOBAL,453
14,4,BARRACAS,287
15,4,BOCA,375
16,4,FLORES,1
17,4,NUEVA POMPEYA,226
18,4,PARQUE CHACABUCO,1
19,4,PARQUE PATRICIOS,370
20,4,POMPEYA,22
21,5,ALMAGRO,704
22,5,BOEDO,322
23,6,ALMAGRO,1
24,6,CABALLITO,1049
25,6,FLORES,1
26,6,PARQUE CHACABUCO,2
27,6,VILLA CRESPO,1
28,7,FLORES,892
29,7,FLORESTA,1
30,7,NUEVA POMPEYA,3
31,7,PARQUE CHACABUCO,343
32,7,POMPEYA,1
33,7,VILLA GENERAL MITRE,1
34,8,PARQUE AVELLANEDA,1
35,8,VILLA LUGANO,123
36,8,VILLA RIACHUELO,43
37,8,VILLA SOLDATI,37
38,9,LINIERS,334
39,9,MATADEROS,347
40,9,PARQUE AVELLANEDA,266
41,9,VERSAILLES,3
42,9,VILLA LUGANO,1
43,10,FLORESTA,321
44,10,LINIERS,2
45,10,MONTE CASTRO,331
46,10,PARQUE AVELLANEDA,1
47,10,VELEZ SARFIELD,340
48,10,VERSAILLES,84
49,10,VILLA DEVOTO,3
50,10,VILLA LURO,279
51,10,VILLA REAL,96
52,11,FLORESTA,1
53,11,MONTE CASTRO,1
54,11,VILLA DEL PARQUE,393
55,11,VILLA DEVOTO,552
56,11,VILLA GENERAL MITRE,299
57,11,VILLA SANTA RITA,367
58,12,COGHLAN,170
59,12,NUÑEZ,39
60,12,SAAVEDRA,429
61,12,VILLA DEVOTO,1
62,12,VILLA PUEYRREDON,484
63,12,VILLA URQUIZA,1011
64,13,BELGRANO,435
65,13,COGHLAN,2
66,13,COLEGIALES,219
67,13,NUÑEZ,198
68,13,PALERMO,2
69,13,SAAVEDRA,54
70,14,COLEGIALES,2
71,14,PALERMO,817
72,14,VILLA CRESPO,2
73,15,AGRONOMIA,202
74,15,CHACARITA,304
75,15,PALERMO,1
76,15,PARQUE CHAS,138
77,15,PATERNAL,183
78,15,VILLA CRESPO,872
79,15,VILLA ORTUZAR,201
80,15,VILLA URQUIZA,2
